"字詞名","輕鬆輸入法編碼","分析可能的輕鬆輸入法編碼","查無對映的輕鬆輸入法編碼"
"打情罵俏","qpwo","",""
"打趣","qbgx","",""
"打群架","q]j","",""
"打群架","q]n","",""
"打消","qbeb","",""
"打小報告","q,g,","",""
"打小報告","qbg,","",""
"打知名度","q,,`","",""
"打製","qb,[","",""
"打折","qbq1","",""
"打折扣","qqq","",""
"打招呼","qqr","",""
"打顫","qby5","",""
"打針","qbcj","",""
"打仗","qbo.","",""
"打仗","qbox","",""
"打主意","qyy","",""
"打住","qbog","",""
"打轉","qb2;","",""
"打樁","qbdm","",""
"打鐘","qbcg","",""
"打中","qbll","",""
"打赤膊","qgb","",""
"打赤腳","qgb","",""
"打岔","qb8u","",""
"打成一片","qmm1","",""
"打成一片","q`m,","",""
"打成一片","q`m1","",""
"打手","qbq","",""
"打手心","qqp","",""
"打傷","qbon","",""
"打輸","qb2b","",""
"打水","qbee","",""
"打水仗","qeo","",""
"打擾","qbqx","",""
"打人","qbo","",""
"打字","qb7b","",""
"打字機","q7d","",""
"打字紙","q73","",""
"打雜","qby0","",""
"打造","qbzr","",""
"打坐","qbog","",""
"打嘴","qbrb","",""
"打草驚蛇","qttl","",""
"打從","qb,o","",""
"打死","qbm'","",""
"打掃","qbq1","",""
"打傘","qboj","",""
"打散","qbtx","",""
"打碎","qbmj","",""
"打算","qbht","",""
"打算盤","qh,","",""
"打暗號","qa-","",""
"打暗號","qar","",""
"打耳光","q9t","",""
"打壓","qb`g","",""
"打牙祭","qm,","",""
"打野外","qw,","",""
"打油詩","qe4","",""
"打游擊","qe2","",""
"打烊","qbfj","",""
"打樣","qbde","",""
"打魚","qb,f","",""
"打魚郎","q,y","",""
"打圓場","q5g","",""
"打圓場","qwg","",""
"大","k","",""
"大把","kq'","",""
"大伯","kkoa","",""
"大脖子","kb.","",""
"大拜拜","k,,","",""
"大敗","kk5x","",""
"大悲","k,p","",""
"大悲","k1p","",""
"大包小包","k,b,","",""
"大飽口福","kory","",""
"大飽眼福","kowy","",""
"大爆滿","kfe","",""
"大爆冷門","kfya","",""
"大班","kmg","",""
"大搬風","kq,","",""
"大搬風","kq-","",""
"大半","ktj","",""
"大半輩子","kt,.","",""
"大半輩子","kt1.","",""
"大半天","ktm","",""
"大半生","kt,","",""
"大本營","kdf","",""
"大筆","khj","",""
"大便","kox","",""
"大變","k3x","",""
"大兵","k,8","",""
"大餅","kot","",""
"大不了","km.","",""
"大不相同","kmdb","",""
"大不如前","kmvt","",""
"大不易","kma","",""
"大部分","ky8","",""
"大部分","kyo","",""
"大拍賣","kqg","",""
"大排長龍","kqmy","",""
"大牌","kk,j","",""
"大牌","kk1j","",""
"大炮","kf'","",""
"大盤","k,m","",""
"大批","kq'","",""
"大媽","kvn","",""
"大麻","k`'","",""
"大麻","k`d","",""
"大麻煙","k`f","",""
"大漠","kek","",""
"大門","ka","",""
"大夢","kkt,","",""
"大夢初醒","ktym","",""
"大名","k,r","",""
"大名鼎鼎","k,''","",""
"大名鼎鼎","k,11","",""
"大名鼎鼎","k,ww","",""
"大明星","kaa","",""
"大模大樣","kdkd","",""
"大拇指","kqq","",""
"大發脾氣","k.b,","",""
"大發雷霆","k.66","",""
"大發利市","k.,y","",""
"大發神威","k.y`","",""
"大法官","ke7","",""
"大法師","ke,","",""
"大法師","kes","",""
"大費周章","k,by","",""
"大費周章","knby","",""
"大費脣舌","k,`,","",""
"大費脣舌","k,`m","",""
"大費脣舌","kn`,","",""
"大費脣舌","kn`m","",""
"大凡","k,'","",""
"大凡","k-y","",""
"大方","kyn","",""
"大方向","ky,","",""
"大房","ksn","",""
"大放厥詞","ky`4","",""
"大放厥辭","ky`,","",""
"大放異彩","kyw,","",""
"大風大浪","k,ke","",""
"大風大浪","k-ke","",""
"大豐收","k''","",""
"大幅度","k1`","",""
"大副","kmb","",""
"大富大貴","k7kl","",""
"大富翁","k78","",""
"大腹便便","kboo","",""
"大打出手","kquq","",""
"大大小小","kk,,","",""
"大大小小","kkbb","",""
"大德","k,p","",""
"大刀","kkmn","",""
"大刀","kkn,","",""
"大刀闊斧","kma8","",""
"大刀闊斧","kna8","",""
"大盜","kkem","",""
"大道","kzw","",""
"大豆","kmt","",""
"大豆油","kme","",""
"大膽","kb4","",""
"大啖一番","kr1,","",""
"大啖一番","krm,","",""
"大抵","kqm","",""
"大地","kg'","",""
"大地重生","kg,,","",""
"大調","k4b","",""
"大典","k18","",""
"大典","kw8","",""
"大殿","kksx","",""
"大肚","kbg","",""
"大肚子","kb.","",""
"大度","k`x","",""
"大多數","k,w","",""
"大多數","k,1","",""
"大堆","kkg0","",""
"大隊","k9.","",""
"大隊接力","k9qj","",""
"大隊接力","k9qn","",""
"大對決","kte","",""
"大動脈","k,b","",""
"大動亂","k,,","",""
"大動肝火","k,bf","",""
"大特寫","k,7","",""
"大逃亡","kzy","",""
"大頭","km5","",""
"大頭兵","km,","",""
"大頭照","kma","",""
"大頭針","kmc","",""
"大頭菜","kmt","",""
"大提琴","kqm","",""
"大體","k7t","",""
"大體上","k7y","",""
"大體而言","k7m4","",""
"大廳","k`p","",""
"大庭廣眾","k``,","",""
"大庭廣眾","k``w","",""
"大突破","k7m","",""
"大屠殺","ksx","",""
"大腿","kbz","",""
"大腿","kb[","",""
"大腿舞","kb,","",""
"大團圓","kww","",""
"大同","kbr","",""
"大同小異","kb,w","",""
"大同小異","kbbw","",""
"大同世界","kb'w","",""
"大同世界","kbmw","",""
"大同世界","kbtw","",""
"大內","kbo","",""
"大內","kob","",""
"大腦","kbw","",""
"大難","kt0","",""
"大難不死","ktmm","",""
"大難臨頭","kt[m","",""
"大逆不道","kzmz","",""
"大年","k,j","",""
"大年初一","k,y1","",""
"大年初一","k,ym","",""
"大年夜","k,y","",""
"大剌剌","kdd","",""
"大剌剌","kdj","",""
"大剌剌","kjd","",""
"大剌剌","kjj","",""
"大喇叭","krr","",""
"大雷雨","k66","",""
"大老","kkg'","",""
"大老闆","kga","",""
"大老婆","kge","",""
"大老遠","kgz","",""
"大樓","kdv","",""
"大浪","kke[","",""
"大禮","kyt","",""
"大禮服","kyb","",""
"大禮堂","kyt","",""
"大力","kjn","",""
"大力","kn,","",""
"大力幫忙","kjgp","",""
"大力幫忙","kngp","",""
"大力推荐","kjqt","",""
"大力推荐","knqt","",""
"大力鼓吹","kjgr","",""
"大力鼓吹","kngr","",""
"大力士","kjg","",""
"大力士","kng","",""
"大力水手","kjeq","",""
"大力水手","kneq","",""
"大殮","kmo","",""
"大量","kag","",""
"大滷麵","kej","",""
"大滷麵","kek","",""
"大陸片","k6,","",""
"大陸片","k61","",""
"大陸片","k9,","",""
"大陸片","k91","",""
"大陸冷氣團","k6y,","",""
"大陸冷氣團","k9y,","",""
"大陸貨","k6o","",""
"大陸貨","k9o","",""
"大陸市場","k6yg","",""
"大陸市場","k9yg","",""
"大陸熱","k6g","",""
"大陸熱","k9g","",""
"大路","krr","",""
"大略","kwr","",""
"大哥","kmb","",""
"大哥大","kmk","",""
"大個子","ko.","",""
"大個兒","ko,","",""
"大概","kd-","",""
"大概","kd'","",""
"大綱","k3b","",""
"大股東","kbd","",""
"大股東","kbj","",""
"大鼓","kkgx","",""
"大褂","kkyy","",""
"大鍋飯","kco","",""
"大國","kwi","",""
"大過","kzb","",""
"大規模","kgd","",""
"大規模","kjd","",""
"大規模","kmd","",""
"大觀園","ktw","",""
"大公國","k8w","",""
"大公無私","k8,,","",""
"大功","kmn","",""
"大功告成","km,`","",""
"大卡","kkyy","",""
"大可","kmb","",""
"大可不必","kmmp","",""
"大客車","k72","",""
"大開方便之門","kayo","",""
"大開眼界","kaww","",""
"大楷","kkda","",""
"大考中心","kglp","",""
"大口","kkrr","",""
"大哭","krk","",""
"大快朵頤","kp,[","",""
"大快朵頤","kp-[","",""
"大快人心","kpop","",""
"大塊","kg'","",""
"大塊","kg/","",""
"大海撈針","keqc","",""
"大好","kkvb","",""
"大號","kk-h","",""
"大號","kkr-","",""
"大喉嚨","krr","",""
"大吼","kkr'","",""
"大汗","kkej","",""
"大寒","k7y","",""
"大喊大叫","krkr","",""
"大汗","kkej","",""
"大汗涔涔","keee","",""
"大亨","kyb","",""
"大呼過癮","krzy","",""
"大呼過癮","krz`","",""
"大呼小叫","kr,r","",""
"大呼小叫","krbr","",""
"大鬍子","km.","",""
"大戶","ks","",""
"大戶人家","kso7","",""
"大話","k4r","",""
"大火","kkff","",""
"大貨車","ko2","",""
"大惑","kkip","",""
"大惑不解","kim,","",""
"大禍","kyb","",""
"大禍臨頭","ky[m","",""
"大獲全勝","k,ob","",""
"大獲全勝","ktob","",""
"大會","koa","",""
"大會串","kol","",""
"大會師","ko,","",""
"大會師","kos","",""
"大會操","koq","",""
"大會舞","ko,","",""
"大環境","kmg","",""
"大換血","kq,","",""
"大紅","k3m","",""
"大紅大紫","k3k1","",""
"大吉","kkgr","",""
"大吉大利","kgk,","",""
"大家","k7.","",""
"大家風範","k7,h","",""
"大家風範","k7-h","",""
"大家庭","k7`","",""
"大家閨秀","k7a,","",""
"大家長","k7m","",""
"大家族","k7y","",""
"大駕","kjn","",""
"大駕","knn","",""
"大街","k,b","",""
"大街小巷","k,,t","",""
"大街小巷","k,bt","",""
"大捷","kkqo","",""
"大節","kh9","",""
"大姐","kvm","",""
"大姐頭","kvm","",""
"大腳丫","kby","",""
"大舅子","k,.","",""
"大減價","keo","",""
"大近視眼","kzyw","",""
"大進擊","kz2","",""
"大江東去","kedg","",""
"大江東去","kejg","",""
"大獎","kk'k","",""
"大獎","kk1k","",""
"大將","k';","",""
"大將之風","k'y,","",""
"大將之風","k'y-","",""
"大驚小怪","kt,p","",""
"大驚小怪","ktbp","",""
"大驚失色","kt,,","",""
"大局","ksn","",""
"大舉入侵","k,oo","",""
"大軍壓境","k7`g","",""
"大起大落","kgkt","",""
"大氣","k,'","",""
"大氣","k,d","",""
"大氣層","k,s","",""
"大氣壓","k,`","",""
"大器","krr","",""
"大器晚成","kra`","",""
"大千世界","k,'w","",""
"大千世界","k,mw","",""
"大千世界","k,tw","",""
"大前提","ktq","",""
"大前天","ktm","",""
"大前年","kt,","",""
"大搶購","kq5","",""
"大清早","kea","",""
"大全","kog","",""
"大權","kd0","",""
"大權旁落","kdyt","",""
"大權在握","kdjq","",""
"大西洋","kme","",""
"大喜","kkgr","",""
"大喜過望","kgzy","",""
"大戲","kyi","",""
"大戲","k`i","",""
"大俠","kok","",""
"大廈","k`x","",""
"大寫","k7n","",""
"大卸八塊","k,8g","",""
"大小","k,y","",""
"大小","kby","",""
"大小便","k,o","",""
"大小便","kbo","",""
"大小不一","k,m1","",""
"大小不一","k,mm","",""
"大小不一","kbm1","",""
"大小不一","kbmm","",""
"大笑","khk","",""
"大仙","kou","",""
"大顯身手","ka,q","",""
"大顯威風","ka`,","",""
"大顯威風","ka`-","",""
"大限","k9[","",""
"大相逕庭","kdz`","",""
"大象","k,.","",""
"大興土木","k,gd","",""
"大刑","kkmb","",""
"大行其道","k,tz","",""
"大型電腦","km6b","",""
"大型企業","kmot","",""
"大學","k,b","",""
"大學部","k,y","",""
"大學法","k,e","",""
"大學服","k,b","",""
"大學聯考","k,9g","",""
"大學聯招","k,9q","",""
"大學城","k,g","",""
"大學生","k,,","",""
"大學自治","k,,e","",""
"大學問","k,a","",""
"大學院校","k,9d","",""
"大雪","k6]","",""
"大選","kz8","",""
"大選區","kz[","",""
"大雄寶殿","kj7s","",""
"大熊星座","k/a`","",""
"大志","kgp","",""
"大致","kmx","",""
"大致上","kmy","",""
"大致說來","km4d","",""
"大致說來","km4j","",""
"大致說來","km4m","",""
"大智","kk,a","",""
"大智若愚","k,tw","",""
"大製作","k,o","",""
"大展","ks[","",""
"大展魅力","ks,j","",""
"大展魅力","ks,n","",""
"大展鴻圖","ksew","",""
"大展身手","ks,q","",""
"大戰","kri","",""
"大張旗鼓","knyg","",""
"大專","kj;","",""
"大專聯考","kj9g","",""
"大專教育","kjgj","",""
"大專教育","kjgy","",""
"大專教育","kjxj","",""
"大專教育","kjxy","",""
"大專生","kj,","",""
"大專暑訓","kja4","",""
"大專院校","kj9d","",""
"大轉彎","k23","",""
"大眾","k,.","",""
"大眾","k,o","",""
"大眾","kw.","",""
"大眾","kwb","",""
"大眾","kwo","",""
"大眾傳媒","k,ov","",""
"大眾傳媒","kwov","",""
"大眾化","k,o","",""
"大眾化","kwo","",""
"大眾捷運系統","k,qz","",""
"大眾捷運系統","kwqz","",""
"大眾傳播","k,oq","",""
"大眾傳播","kwoq","",""
"大眾文化","k,yo","",""
"大眾文化","kwyo","",""
"大眾運輸","k,z2","",""
"大眾運輸","kwz2","",""
"大吃","kkr'","",""
"大吃一驚","kr1t","",""
"大吃一驚","krmt","",""
"大澈大悟","kekp","",""
"大鈔","kkc,","",""
"大吵大鬧","krk1","",""
"大吵大鬧","krka","",""
"大吵大鬧","krkm","",""
"大吵一頓","kr1j","",""
"大吵一頓","krmj","",""
"大臣","k[1","",""
"大腸","kbn","",""
"大腸桿菌","kbdt","",""
"大成","k`i","",""
"大出風頭","ku,m","",""
"大出風頭","ku-m","",""
"大出鋒頭","kucm","",""
"大出血","ku,","",""
"大廚","k`;","",""
"大處著眼，小處著手","kytw","",""
"大吹大擂","krkq","",""
"大失所望","k,sy","",""
"大師","k,1","",""
"大師","ks1","",""
"大師傅","k,o","",""
"大師傅","kso","",""
"大師級","k,3","",""
"大師級","ks3","",""
"大使","kox","",""
"大使館","koo","",""
"大事","kjb","",""
"大事","kmb","",""
"大事化小，小事化無","kjo,","",""
"大事化小，小事化無","kjob","",""
"大事化小，小事化無","kmo,","",""
"大事化小，小事化無","kmob","",""
"大是大非","kak,","",""
"大是大非","kak1","",""
"大勢","kgn","",""
"大勢所趨","kgsg","",""
"大勢已去","kg]g","",""
"大舌頭","k,m","",""
"大舌頭","kmm","",""
"大赦","kgx","",""
"大手筆","kqh","",""
"大壽","kkg;","",""
"大聲","kg9","",""
"大聲疾呼","kgyr","",""
"大聲疾呼","kg`r","",""
"大聲嚷嚷","kgrr","",""
"大乘經典","k,31","",""
"大乘經典","k,3w","",""
"大聖","kk9g","",""
"大書特書","k1,1","",""
"大書特書","k1,]","",""
"大書特書","k],1","",""
"大書特書","k],]","",""
"大叔","kkyx","",""
"大暑","kaa","",""
"大帥","k,1","",""
"大帥","ks1","",""
"大水","ke","",""
"大人","ko","",""
"大人不計小人過","kom4","",""
"大人大量","koka","",""
"大人物","ko,","",""
"大仁","kkom","",""
"大嚷大叫","krkr","",""
"大儒","kob","",""
"大姊","kkv1","",""
"大姊","kkvn","",""
"大字","k7b","",""
"大字報","k7g","",""
"大自然","k,,","",""
"大雜燴","kyf","",""
"大雜院","ky9","",""
"大災難","k,t","",""
"大作","kom","",""
"大作家","ko7","",""
"大嘴巴","krw","",""
"大嘴巴","kr]","",""
"大宗","k7y","",""
"大材小用","kd,b","",""
"大材小用","kdbb","",""
"大菜","ktd","",""
"大餐","ky[","",""
"大錯特錯","kc,c","",""
"大肆","kmj","",""
"大肆抨擊","k4q2","",""
"大肆抨擊","kmq2","",""
"大掃除","kq9","",""
"大嫂","kvx","",""
"大嗓門","kra","",""
"大蒜","kty","",""
"大額","k75","",""
"大愛","kk,x","",""
"大礙","kkmo","",""
"大安","k7v","",""
"大而化之","kmoy","",""
"大而無當","km,t","",""
"大耳朵","k9,","",""
"大耳朵","k9-","",""
"大衣","ky[","",""
"大異其趣","kwtg","",""
"大意","kyp","",""
"大義","kti","",""
"大義滅親","ktey","",""
"大義凜然","kty,","",""
"大牙","kkmb","",""
"大爺","k89","",""
"大夜班","kym","",""
"大業","ktd","",""
"大搖大擺","kqkq","",""
"大要","kmv","",""
"大有","kjb","",""
"大有來頭","kjdm","",""
"大有來頭","kjjm","",""
"大有來頭","kjmm","",""
"大有可觀","kjmt","",""
"大有可為","kjmy","",""
"大有斬獲","kj2,","",""
"大有斬獲","kj2t","",""
"大有助益","kj7t","",""
"大有助益","kjbt","",""
"大有人在","kjoj","",""
"大有為","kj,","",""
"大有為","kjy","",""
"大言不慚","k4mp","",""
"大眼瞪小眼","kww,","",""
"大眼瞪小眼","kwwb","",""
"大宴小酌","k7,m","",""
"大宴小酌","k7bm","",""
"大銀幕","kct","",""
"大洋","kej","",""
"大樣","kde","",""
"大贏家","ky7","",""
"大無畏","k,w","",""
"大我","k,i","",""
"大玩偶","kmo","",""
"大王","kmg","",""
"大魚大肉","k,kb","",""
"大雨傾盆","k6o8","",""
"大約","k3n","",""
"大月","kb","",""
"大躍進","krz","",""
"大宛","kk7'","",""
"大原則","k`5","",""
"大勇","kk.n","",""
"得",",;","",""
"得標",",;dy","",""
"得病",",;yb","",""
"得病",",;`b","",""
"得不償失",",mo,","",""
"得票",",;my","",""
"得票率",",my","",""
"得名",",;,r","",""
"得法",",;e/","",""
"得分",",;8n","",""
"得道",",;zw","",""
"得道成仙",",z`o","",""
"得當",",;tw","",""
"得體",",;7t","",""
"得天獨厚",",m,`","",""
"得了",",;.b","",""
"得來不易",",dma","",""
"得來不易",",jma","",""
"得來不易",",mma","",""
"得力",",;jn","",""
"得力",",;mn","",""
"得力",",;n,","",""
"得利",",;,b","",""
"得了",",;.b","",""
"得隴望蜀",",9yw","",""
"得過且過",",z7z","",""
"得過且過",",zbz","",""
"得救",",;jx","",""
"得獎",",;'k","",""
"得獎",",;1k","",""
"得悉",",;,p","",""
"得心應手",",p`q","",""
"得知",",;,r","",""
"得志",",;gp","",""
"得逞",",;zg","",""
"得寵",",;7'","",""
"得失",",;,k","",""
"得勢",",;gn","",""
"得手",",;q","",""
"得勝",",;bn","",""
"得罪",",;wm","",""
"得寸進尺",",;zs","",""
"得宜",",;7m","",""
"得意",",;yp","",""
"得意洋洋",",yee","",""
"得意揚揚",",yqq","",""
"得意忘形",",yym","",""
"得魚忘筌",",,yh","",""
"德",",p","",""
"德目",",pam","",""
"德目",",pww","",""
"德目",",pwm","",""
"德高望重",",yy,","",""
"德國麻疹",",w`y","",""
"德國麻疹",",w``","",""
"德先生",",,,","",""
"德性",",ppg","",""
"德政",",pmx","",""
"德澤",",pej","",""
"德才兼備",",jto","",""
"德才兼備",",mto","",""
"德文",",pyx","",""
"德語",",p4r","",""
"德育",",pjb","",""
"德育",",pyb","",""
"地","g'","",""
"底","`m","",""
"的","\","",""
"的",",n","",""
"得",",;","",""
"呆","rd","",""
"呆板","rddx","",""
"呆頭呆腦","rmrb","",""
"呆瓜","rd,.","",""
"呆滯","rde1","",""
"呆帳","rd1[","",""
"呆帳","rdb[","",""
"呆住","rdog","",""
"呆水位","reo","",""
"呆若木雞","rtd,","",""
"呆子","rd.b","",""
"待",",;","",""
"獃","uk","",""
"獃","ukx","",""
"獃滯","uke1","",""
"獃滯","uxe1","",""
"歹","m,","",""
"歹命","m,o9","",""
"歹毒","m,j=","",""
"歹徒","m,,o","",""
"歹路","m,rr","",""
"歹路不可行","mrmm","",""
"歹戲拖棚","myqd","",""
"歹戲拖棚","m`qd","",""
"歹竹出好筍","mhuv","",""
"逮","ze","",""
"逮捕","zeqb","",""
"大","k","",""
"大夫","kgo","",""
"大夫","kjk","",""
"大夫","kmk","",""
"代","oi","",""
"代班","oimg","",""
"代辦","oiyj","",""
"代筆","oihj","",""
"代表","oij[","",""
"代表作","ojo","",""
"代步","oi1,","",""
"代碼","oimn","",""
"代名詞","o,4","",""
"代母","oi=y","",""
"代打","oiqb","",""
"代代相傳","oodo","",""
"代墊","oigg","",""
"代糖","oitr","",""
"代替","oiga","",""
"代替","oija","",""
"代替品","ogr","",""
"代替品","ojr","",""
"代勞","oifn","",""
"代理","oimg","",""
"代理商","omy","",""
"代理人","omo","",""
"代領","oio5","",""
"代溝","oieb","",""
"代耕","oij1","",""
"代耕","oijt","",""
"代管","oihr","",""
"代管","oih]","",""
"代工","oimm","",""
"代課","oi4d","",""
"代號","oir-","",""
"代價","oio5","",""
"代金","oicc","",""
"代謝","oi4;","",""
"代銷","oicb","",""
"代唱","oira","",""
"代書","oi1a","",""
"代書","oi]a","",""
"代數","oi1x","",""
"代數","oiwx","",""
"代議制","o4,","",""
"代議士","o4g","",""
"代言","oi4","",""
"代言人","o4o","",""
"岱","ou","",""
"玳","mi","",""
"玳瑁","mi","",""
"玳瑁","mimw","",""
"袋","o[","",""
"袋鼠","o[,'","",""
"袋子","o[.b","",""
"貸","o5","",""
"貸款","o5go","",""
"貸借","o5oa","",""
"黛","of","",""
"黛綠年華","o3,t","",""
"殆","mr","",""
"殆盡","mr1m","",""
"殆盡","mr]m","",""
"迨","zr","",""
"怠","/p","",""
"怠慢","/ppx","",""
"怠惰","/ppb","",""
"怠工","/pmm","",""
"怠忽","/p,p","",""
"怠忽職守","/,97","",""
"怠駛","/pmx","",""
"紿","3rx","",""
"駘","mrx","",""
"駘蕩","mxtn","",""
"待",",;","",""
"待命",",;o9","",""
"待客",",;7r","",""
"待機而動",",dm,","",""
"待價而沽",",ome","",""
"待查",",;dm","",""
"待產",",;yg","",""
"待售",",;0r","",""
"待人接物",",oq,","",""
"待人處世",",oy'","",""
"待人處世",",oym","",""
"待人處世",",oyt","",""
"待人處事",",oyj","",""
"待字閨中",",7al","",""
"待遇",",;zb","",""
"帶","j1","",""
"帶","m1","",""
"帶兵","j1,8","",""
"帶兵","m1,8","",""
"帶分數","j81","",""
"帶分數","j8w","",""
"帶分數","m81","",""
"帶分數","m8w","",""
"帶動","j1,n","",""
"帶動","m1,n","",""
"帶動唱","j,r","",""
"帶動唱","m,r","",""
"帶頭","j1m5","",""
"帶領","j1o5","",""
"帶領","m1o5","",""
"帶路","j1rr","",""
"帶路","m1rr","",""
"帶勁","j1mn","",""
"帶菌","j1tw","",""
"帶菌","m1tw","",""
"帶球跑","jmr","",""
"帶球跑","mmr","",""
"帶球撞人","jmqo","",""
"帶球撞人","mmqo","",""
"帶孝","j1gb","",""
"帶孝","m1gb","",""
"帶狀","j1'k","",""
"帶狀疱疹","j'yy","",""
"帶狀疱疹","j'y`","",""
"帶狀疱疹","j'`y","",""
"帶狀疱疹","j'``","",""
"帶狀疱疹","m'yy","",""
"帶狀疱疹","m'y`","",""
"帶狀疱疹","m'`y","",""
"帶狀疱疹","m'``","",""
"帶子","j1.b","",""
"帶子","m1.b","",""
"帶原者","j`g","",""
"帶原者","m`g","",""
"逮","ze","",""
"戴","gi","",""
"戴","ji","",""
"戴高帽","gy1","",""
"戴高帽","gyb","",""
"戴高帽","jy1","",""
"戴高帽","jyb","",""
"戴孝","gigb","",""
"戴孝","jigb","",""
"戴罪立功","gwym","",""
"戴罪立功","jwym","",""
"戴奧辛","g,y","",""
"戴奧辛","j,y","",""
"得",",;","",""
"刀","mn","",""
"刀","n,","",""
"刀疤","n,y'","",""
"刀背","mn1b","",""
"刀背","mnmb","",""
"刀背","n,1b","",""
"刀背","n,mb","",""
"刀筆","mnhj","",""
"刀筆","n,hj","",""
"刀柄","mndb","",""
"刀柄","n,db","",""
"刀片","mn,'","",""
"刀片","mn,1","",""
"刀片","mn1'","",""
"刀片","mn11","",""
"刀片","n,,'","",""
"刀片","n,,1","",""
"刀片","n,1'","",""
"刀片","n,11","",""
"刀法","mne/","",""
"刀法","n,e/","",""
"刀鋒","mncj","",""
"刀鋒","n,cj","",""
"刀光劍影","mtoa","",""
"刀光劍影","ntoa","",""
"刀口","mnr","",""
"刀口","n,r","",""
"刀痕","mny[","",""
"刀痕","mn`[","",""
"刀痕","n,y[","",""
"刀痕","n,`[","",""
"刀劍無情","mo,p","",""
"刀劍無情","no,p","",""
"刀槍不入","mdmo","",""
"刀槍不入","ndmo","",""
"刀械","mndi","",""
"刀械","n,di","",""
"刀削冰","mty","",""
"刀削冰","nty","",""
"刀削麵","mtj","",""
"刀削麵","mtk","",""
"刀削麵","ntj","",""
"刀削麵","ntk","",""
"刀叉","mnxy","",""
"刀叉","n,xy","",""
"刀傷","mnon","",""
"刀傷","n,on","",""
"刀刃","mnmn","",""
"刀刃","mnny","",""
"刀刃","n,mn","",""
"刀刃","n,ny","",""
"刀子","mn.b","",""
"刀子","n,.b","",""
"叨","rn","",""
"叨叨絮絮","rrvv","",""
"倒","ob","",""
"倒閉","obab","",""
"倒斃","obt'","",""
"倒楣","obdw","",""
"倒楣相","odd","",""
"倒霉","ob6=","",""
"倒店","ob`r","",""
"倒塌","obgn","",""
"倒頭就睡","omyw","",""
"倒坍","obgb","",""
"倒戈","obi","",""
"倒閣","obar","",""
"倒會","oboa","",""
"倒債","obo5","",""
"倒帳","ob1[","",""
"倒帳","obb[","",""
"倒嗓","obrd","",""
"倒胃","obwb","",""
"倒胃口","owr","",""
"倒運","obz2","",""
"島",",n","",""
"島民",",nri","",""
"島民",",n]i","",""
"島國",",nwi","",""
"島嶼",",nu8","",""
"搗","qn","",""
"搗蛋","q,.l","",""
"搗蛋","qn.l","",""
"搗蛋鬼","q.,","",""
"搗亂","qn,'","",""
"搗鬼","qn,'","",""
"搗鬼","qn,/","",""
"搗毀","qn,x","",""
"搗毀","qn[x","",""
"搗碎","q0mj","",""
"導","z;","",""
"導播","z;h]","",""
"導盲","z;yw","",""
"導盲磚","zym","",""
"導電","z;6'","",""
"導讀","z;45","",""
"導體","z;7t","",""
"導尿","z;se","",""
"導尿管","zsh","",""
"導流板","zed","",""
"導論","z;4b","",""
"導管","z;hr","",""
"導航","z;,-","",""
"導護","z;4x","",""
"導護","z;tx","",""
"導火線","zf3","",""
"導向","z;,b","",""
"導向飛彈","z,mn","",""
"導致","z;mx","",""
"導正","z;mm","",""
"導師","z;,1","",""
"導師","z;s1","",""
"導熱","z;gf","",""
"導遊","z;zb","",""
"導言","z;4","",""
"導演","z;e8","",""
"導引","z;n1","",""
"導源","z;ey","",""
"擣","q;x","",""
"禱","y;","",""
"禱告","y;,r","",""
"禱詞","y;4n","",""
"禱文","y;yx","",""
"到","mb","",""
"到達","mbzj","",""
"到底","mb`m","",""
"到頭","mbm5","",""
"到頭來","mmd","",""
"到頭來","mmj","",""
"到頭來","mmm","",""
"到家","mb7.","",""
"到期","mbtb","",""
"到齊","mby1","",""
"到職","mb9i","",""
"到場","mbgn","",""
"到處","mby-","",""
"到處","mbyx","",""
"到時","mba;","",""
"到手","mbq","",""
"到任","mbog","",""
"到案","mb7d","",""
"倒","ob","",""
"倒不如","omv","",""
"倒反","ob,x","",""
"倒反","ob`x","",""
"倒帶","obj1","",""
"倒帶","obm1","",""
"倒吊","obr1","",""
"倒貼","ob5r","",""
"倒退","obz[","",""
"倒立","obyt","",""
"倒掛金鉤","oqcc","",""
"倒果為因","ow,w","",""
"倒果為因","owyw","",""
"倒灌","obe0","",""
"倒扣","obqr","",""
"倒行逆施","o,zy","",""
"倒敘","obox","",""
"倒懸","oblp","",""
"倒懸","obwp","",""
"倒置","obwm","",""
"倒轉","ob2;","",""
"倒裝句","o',","",""
"倒吃甘蔗","ortt","",""
"倒車","ob2","",""
"倒抽一口氣","oqmr","",""
"倒數","ob1x","",""
"倒數","obwx","",""
"倒數計時","o14a","",""
"倒數計時","ow4a","",""
"倒栽蔥","ogt","",""
"倒栽蔥","ojt","",""
"倒影","oba,","",""
"倒映","obak","",""
"悼","pj","",""
"悼念","pjop","",""
"悼歌","pjmo","",""
"悼亡","pjy'","",""
"盜","em","",""
"盜版","em,x","",""
"盜版","em1x","",""
"盜賣","emg5","",""
"盜木","emdd","",""
"盜伐","emoi","",""
"盜匪","em[m","",""
"盜壘","emwg","",""
"盜獵","em,'","",""
"盜林","emdd","",""
"盜領","emo5","",""
"盜錄","emce","",""
"盜汗","emej","",""
"盜竊","em7b","",""
"盜取","em9x","",""
"盜賊","em5i","",""
"盜採","emqd","",""
"盜用","emb1","",""
"盜用","embj","",""
"道","zw","",""
