¶r¿Wß«∏π,¶r,≥°≠∫,µßµe,•X≤{¿W¶∏,≤÷øn¿W¶∏,≤÷øn¶ §¿§Ò
1124,øÚ,∆÷,16,130,920815,91.54541008
1125,¡‰,™˜,17,130,920945,91.55833439
1126,¶˚,§H,07,129,921074,91.57115929
1127,©°,§r,08,129,921203,91.58398419
1128,¨r,§,08,129,921332,91.59680909
1129,≥‹,§f,12,129,921461,91.60963398
1130,µ°,•ﬁ,12,129,921590,91.62245888
1131,π™,π™,13,129,921719,91.63528378
1132,¶M,∆»,06,128,921847,91.64800926
1133,©Í,§‚,08,128,921975,91.66073474
1134,∆Q,≥ø,24,128,922103,91.67346022
1135,ßÃ,§},07,127,922230,91.68608628
1136,®Î,§M,08,127,922357,91.69871234
1137,º…,§È,15,127,922484,91.71133840
1138,√C,≠∂,18,127,922611,91.72396446
1139,≥~,∆÷,11,126,922737,91.73649111
1140,¥π,§È,12,126,922863,91.74901775
1141,•®,§u,05,125,922988,91.76144498
1142,¨•,§Ù,09,125,923113,91.77387220
1143,≤V,§Ù,11,125,923238,91.78629943
1144,¥f,§ﬂ,12,125,923363,91.79872666
1145,πM,∆÷,13,125,923488,91.81115388
1146,©m,§k,08,124,923612,91.82348169
1147,©v,∆À,08,124,923736,91.83580950
1148,±œ,∆“,11,124,923860,91.84813731
1149,¥ˆ,§Ù,12,124,923984,91.86046512
1150,§M,§M,02,123,924107,91.87269351
1151,¶{,∆Ã,06,123,924230,91.88492190
1152,®©,®©,07,123,924353,91.89715029
1153,≠€,§H,10,123,924476,91.90937868
1154,≤¶,•–,11,123,924599,91.92160707
1155,©Y,§g,08,122,924721,91.93373604
1156,Øµ,•›,10,122,924843,91.94586501
1157,∞æ,§H,11,122,924965,91.95799399
1158,∞“,§S,11,122,925087,91.97012296
1159,øA,§Ù,16,122,925209,91.98225193
1160,(˘€),¶Ã,12,122,925331,91.99438091
1161,¨“,•’,09,121,925452,92.00641046
1162,∑t,§È,13,121,925573,92.01844002
1163,¬d,§Ï,18,121,925694,92.03046957
1164,•l,§f,05,120,925814,92.04239971
1165,®Ø,®Ø,07,120,925934,92.05432984
1166,®≈,§A,08,120,926054,92.06625998
1167,™Y,§Ì,08,120,926174,92.07819012
1168,Ø√,¶Õ,10,120,926294,92.09012026
1169,±˝,§Ì,11,120,926414,92.10205039
1170,µ^,•…,12,120,926534,92.11398053
1171,∑˘,•◊,13,120,926654,92.12591067
1172,Ωw,¶Õ,15,120,926774,92.13784080
1173,¡A,•ÿ,17,120,926894,92.14977094
1174,ƒπ,®©,20,120,927014,92.16170108
1175,(˘ÿ),¶Á,13,120,927134,92.17363122
1176,•J,§H,05,119,927253,92.18546193
1177,∏I,•€,13,119,927372,92.19729265
1178,∏¸,®Æ,13,119,927491,92.20912337
1179,πS,®ª,13,119,927610,92.22095409
1180,ø˚,™˜,16,119,927729,92.23278481
1181,©‚,§‚,08,118,927847,92.24451611
1182,¨√,•…,09,118,927965,92.25624742
1183,≥ª,≠∂,11,118,928083,92.26797872
1184,Ω¸,®Æ,15,118,928201,92.27971002
1185,•π,§È,05,117,928318,92.29134190
1186,≤ˆ, J,11,117,928435,92.30297379
1187,µJ,§ı,12,117,928552,92.31460567
1188,∂,§g,13,117,928669,92.32623755
1189,∏ﬂ,®•,13,117,928786,92.33786944
1190,Ω≤, J,15,117,928903,92.34950132
1191,¶£,§ﬂ,06,116,929019,92.36103379
1192,¶˘,§H,07,116,929135,92.37256625
1193,≠Ù,§f,10,116,929251,92.38409872
1194,ºo,∆Œ,15,116,929367,92.39563118
1195,æ®,§H,16,116,929483,92.40716365
1196,´i,§O,09,115,929598,92.41859670
1197,±Û,§Ï,11,115,929713,92.43002975
1198,∫ø,•…,14,115,929828,92.44146279
1199,ªŸ,™˙,14,115,929943,92.45289584
1200,§¶,∆ø,04,114,930057,92.46422947
1201,¶Ò,§H,07,114,930171,92.47556310
1202,ß«,∆Œ,07,114,930285,92.48689673
1203,®π,®∂,07,114,930399,92.49823036
1204,ÆÁ,§Ï,10,114,930513,92.50956399
1205,ÆÌ,§Ô,10,114,930627,92.52089762
1206,¥≠,§‚,12,114,930741,92.53223125
1207,∏T,•‹,13,114,930855,92.54356488
1208,∫Ò,¶Õ,14,114,930969,92.55489851
1209,Ω¯,®Æ,15,114,931083,92.56623214
1210,≠›,§K,10,113,931196,92.57746636
1211,ØA,§Ù,10,113,931309,92.58870057
1212,≤–,¶Õ,11,113,931422,92.59993478
1213,¥d,§ﬂ,12,113,931535,92.61116899
1214,¥y,§‚,12,113,931648,92.62240321
1215,¡Ù,™˙,17,113,931761,92.63363742
1216,Æ{,…L,10,112,931873,92.64477221
1217,≤H,§Ù,11,112,931985,92.65590701
1218,∏°,¶◊,13,112,932097,92.66704180
1219,¡‹,∆÷,17,112,932209,92.67817660
1220,¬k,§Ó,18,112,932321,92.68931139
1221,ƒ˝,®£,21,112,932433,92.70044619
1222,ßG,§H,07,111,932544,92.71148156
1223,ß—,§ﬂ,07,111,932655,92.72251694
1224,™w,§Ù,08,111,932766,92.73355232
1225,∞k,∆÷,10,111,932877,92.74458769
1226,¬\,§‚,18,111,932988,92.75562307
1227,√∏,¶Õ,19,111,933099,92.76665845
1228,¶„, J,06,110,933209,92.77759441
1229,±¬,§‚,11,110,933319,92.78853037
1230,¥”,§Ï,12,110,933429,92.79946633
1231,∑®,§Ï,13,110,933539,92.81040228
1232,Ω÷,®•,15,110,933649,92.82133824
1233,§Û,§Û,04,109,933758,92.83217478
1234,•y,§f,05,109,933867,92.84301133
1235,ßB,§H,07,109,933976,92.85384787
1236,´_,∆√,09,109,934085,92.86468441
1237,Æ∑,§‚,10,109,934194,92.87552095
1238,≥Ï,§f,12,109,934303,92.88635749
1239,¥∞,∆“,12,109,934412,92.89719403
1240,∑F,§z,13,109,934521,92.90803057
1241,øÙ,®ª,16,109,934630,92.91886711
1242,¬–, P,18,109,934739,92.92970366
1243,©«,§ﬂ,08,108,934847,92.94044078
1244,≠…,§H,10,108,934955,92.95117790
1245,¥L,§o,12,108,935063,92.96191503
1246,ƒx,¶À,20,108,935171,92.97265215
1247,™˝,™˙,08,107,935278,92.98328985
1248,¨f,§Ï,09,107,935385,92.99392756
1249,∞´,∞´,10,107,935492,93.00456527
1250,≥U,¶Á,11,107,935599,93.01520297
1251,µy,•›,12,107,935706,93.02584068
1252,√±,¶À,19,107,935813,93.03647838
1253,Æ‡,§Ï,10,106,935919,93.04701667
1254,¥±,∆“,12,106,936025,93.05755496
1255,¥¿,§Í,12,106,936131,93.06809325
1256,øN,§ı,16,106,936237,93.07863153
1257,¡Û,™˘,17,106,936343,93.08916982
1258,(ÆB),§f,10,105,936448,93.09960869
1259,∑æ,§Ù,13,105,936553,93.11004756
1260,Ωc,¶À,15,105,936658,93.12048643
1261,æc,≠≤,15,105,936763,93.13092530
1262,´“,§y,09,104,936867,93.14126475
1263,∞ª,§H,11,104,936971,93.15160421
1264,∏p, I,13,104,937075,93.16194366
1265,∫j,§Ï,14,104,937179,93.17228311
1266,¿¿,§‚,17,104,937283,93.18262256
1267,µÙ,¶Á,12,103,937386,93.19286260
1268,ª®,®®,14,103,937489,93.20310263
1269,º»,§È,15,103,937592,93.21334267
1270,Ω‰,®©,15,103,937695,93.22358270
1271,•§,§k,05,102,937797,93.23372332
1272,´p,…D,09,102,937899,93.24386393
1273,∂Ï,§g,13,102,938001,93.25400455
1274,∏o, I,13,102,938103,93.26414517
1275,¬Ω,¶–,18,102,938205,93.27428578
1276,•F,∆¿,05,101,938306,93.28432698
1277,•…,•…,05,101,938407,93.29436818
1278,¨M,§È,09,101,938508,93.30440938
1279,¨Ó,•›,09,101,938609,93.31445058
1280,≤@,§Ú,11,101,938710,93.32449178
1281,≥«,§H,12,101,938811,93.33453297
1282,∑∆,§Ù,13,101,938912,93.34457417
1283,æ_,´B,15,101,939013,93.35461537
1284,æ|,≥Ω,15,101,939114,93.36465657
1285,ø≈,¶Ê,16,101,939215,93.37469777
1286,¬≈, J,18,101,939316,93.38473897
1287,¶B,∆≈,06,100,939416,93.39468075
1288,Ø˜, J,10,100,939516,93.40462253
1289,§Z,∆ø,03,99,939615,93.41446489
1290,∞∂,§H,11,99,939714,93.42430726
1291,∑‡,§¸,13,99,939813,93.43414962
1292,∏‘,®•,13,99,939912,93.44399198
1293,ºƒ,∆“,15,99,940011,93.45383435
1294,Ωﬁ,®®,15,99,940110,93.46367671
1295,ø},¶Ã,16,99,940209,93.47351907
1296,¡c,¶Õ,17,99,940308,93.48336144
1297,§Á,§Á,04,98,940406,93.49310438
1298,®H,§Ù,07,98,940504,93.50284733
1299,©Z,§g,08,98,940602,93.51259027
1300,©ø,§ﬂ,08,98,940700,93.52233322
1301,±§,§ﬂ,11,98,940798,93.53207616
1302,±€,§Ë,11,98,940896,93.54181911
1303,µ¸,®•,12,98,940994,93.55156205
1304,πH,∆÷,13,98,941092,93.56130500
1305,π¸,∆—,14,98,941190,93.57104794
1306,••,§l,05,97,941287,93.58069147
1307,Øe,∆‘,10,97,941384,93.59033500
1308,±C,§k,11,97,941481,93.59997853
1309,ªˆ,§H,15,97,941578,93.60962205
1310,øΩ, J,16,97,941675,93.61926558
1311,¬Í,™˜,18,97,941772,93.62890911
1312,•Ω,§Ï,05,96,941868,93.63845322
1313,¶’,¶’,06,96,941964,93.64799733
1314,©º,…L,08,96,942060,93.65754144
1315,™®,§˜,08,96,942156,93.66708555
1316,¨’,•◊,09,96,942252,93.67662966
1317,∑q,∆“,13,96,942348,93.68617377
1318,ƒ÷,æ¶,20,96,942444,93.69571788
1319,µ‹, J,12,95,942539,93.70516257
1320,≈],∞≠,21,95,942634,93.71460726
1321,∂U,®©,12,94,942728,93.72395253
1322,∂◊,…C,13,94,942822,93.73329781
1323,∑˙,•ÿ,13,94,942916,93.74264308
1324,æÙ,§Ï,16,94,943010,93.75198836
1325,ø@,§Ù,16,94,943104,93.76133363
1326,¡˚,≠∂,17,94,943198,93.77067890
1327,§€,∆Õ,04,93,943291,93.77992476
1328,ß¿,§r,07,93,943384,93.78917062
1329,™Q,§Ï,08,93,943477,93.79841647
1330,Æp,§s,10,93,943570,93.80766233
1331,µŒ,¶ﬁ,12,93,943663,93.81690819
1332,¬S,§g,18,93,943756,93.82615404
1333,™M,§Ï,08,92,943848,93.83530048
1334,´a,∆ƒ,09,92,943940,93.84444692
1335,¨_,§Ï,09,92,944032,93.85359336
1336,≠¢,∆÷,09,92,944124,93.86273980
1337,ØD,§Ù,10,92,944216,93.87188623
1338,µ∏,¶Õ,12,92,944308,93.88103267
1339,ßÍ,§‚,07,91,944399,93.89007969
1340,¨u,§Ù,09,91,944490,93.89912671
1341,∑m,§‚,13,91,944581,93.90817373
1342,¿V,≠∂,16,91,944672,93.91722076
1343,•S,§I,05,90,944762,93.92616836
1344,©›,§‚,08,90,944852,93.93511596
1345,∞º,§H,11,90,944942,93.94406356
1346,∂E,®•,12,90,945032,93.95301117
1347,∂K,®©,12,90,945122,93.96195877
1348,¶´,§‚,06,89,945211,93.97080695
1349,™Œ,¶◊,08,89,945300,93.97965514
1350,∞«,§O,11,89,945389,93.98850332
1351,ªX, J,14,89,945478,93.99735151
1352,§z,§z,03,88,945566,94.00610028
1353,¶¿,§Ù,06,88,945654,94.01484904
1354,ß…,∆Œ,07,88,945742,94.02359781
1355,Æ},…L,10,88,945830,94.03234658
1356,¥›,§Ô,12,88,945918,94.04109535
1357,Ω—,®•,15,88,946006,94.04984411
1358,®x,¶◊,07,87,946093,94.05849346
1359,©æ,§ﬂ,08,87,946180,94.06714281
1360,∞∏,§H,11,87,946267,94.07579216
1361,≤K,§Ù,11,87,946354,94.08444151
1362,≥¬,≥¬,11,87,946441,94.09309086
1363,∏÷,®•,13,87,946528,94.10174021
1364,¿y,§O,17,87,946615,94.11038956
1365,§˙,§˙,04,86,946701,94.11893949
1366,´U,§H,09,86,946787,94.12748942
1367,Ω§,¶◊,15,86,946873,94.13603935
1368,ær,∞®,15,86,946959,94.14458929
1369,¡˙,≠≥,17,86,947045,94.15313922
1370,ƒ—,≥¡,20,86,947131,94.16168915
1371,®÷,§H,08,85,947216,94.17013966
1372,´Ï,§ﬂ,09,85,947301,94.17859018
1373,≠L,¶◊,09,85,947386,94.18704069
1374,Ø],•…,10,85,947471,94.19549120
1375,≥J,¶‰,11,85,947556,94.20394172
1376,∏Œ,¶Á,13,85,947641,94.21239223
1377,ºÌ,§Ù,15,85,947726,94.22084274
1378,¿¥,§ﬂ,17,85,947811,94.22929326
1379,§D,∆¿,02,84,947895,94.23764435
1380,•V,∆≈,05,84,947979,94.24599545
1381,®µ,∆÷,07,84,948063,94.25434655
1382,≥æ,≥æ,11,84,948147,94.26269764
1383,∂l,®∂,12,84,948231,94.27104874
1384,ª≤,®Æ,14,84,948315,94.27939983
1385,ºz,§ﬂ,15,84,948399,94.28775093
1386,Ω¶,¶◊,15,84,948483,94.29610203
1387,ΩÒ,®¨,15,84,948567,94.30445312
1388,æn,∞®,15,84,948651,94.31280422
1389,æ¬,§g,16,84,948735,94.32115531
1390,¬Z,§‚,18,84,948819,94.32950641
1391,ß–,…L,07,83,948902,94.33775809
1392,´T,§H,09,83,948985,94.34600977
1393,≥Õ,§L,12,83,949068,94.35426144
1394,¥≥,§Â,12,83,949151,94.36251312
1395,ªƒ,®ª,14,83,949234,94.37076480
1396,¬¶,•€,18,83,949317,94.37901648
1397,¶D,§M,06,82,949399,94.38716874
1398,ß£,§g,07,82,949481,94.39532100
1399,©U,§g,08,82,949563,94.40347326
1400,´ ,§o,09,82,949645,94.41162552
1401,≠M,¶◊,09,82,949727,94.41977778
1402,≠},∆÷,09,82,949809,94.42793004
1403,Øﬂ,¶◊,10,82,949891,94.43608230
1404,≥—,§M,12,82,949973,94.44423456
1405,µf,•–,12,82,950055,94.45238682
1406,∑n,§‚,13,82,950137,94.46053908
1407,º~,§ﬂ,15,82,950219,94.46869134
1408,¡´, O,17,82,950301,94.47684360
1409,•Æ,∆Õ,05,81,950382,94.48489645
1410,©⁄,§‚,08,81,950463,94.49294929
1411,´I,§H,09,81,950544,94.50100213
1412,≠J,¶◊,09,81,950625,94.50905497
1413,∂Î,§g,13,81,950706,94.51710782
1414,∫Ó,¶Õ,14,81,950787,94.52516066
1415,ßg,§f,07,80,950867,94.53311408
1416,ßÆ,§k,07,80,950947,94.54106751
1417,Ø˘, J,10,80,951027,94.54902093
1418,±∂,§‚,11,80,951107,94.55697436
1419,¥`,…L,12,80,951187,94.56492778
1420,∂‘,§O,13,80,951267,94.57288121
1421,ª’,™˘,14,80,951347,94.58083463
1422,ªÙ,ªÙ,14,80,951427,94.58878806
1423,Ωg,¶À,15,80,951507,94.59674148
1424,æF,®∂,15,80,951587,94.60469491
1425,¿π,§‡,17,80,951667,94.61264833
1426,ß˘,§Ï,07,79,951746,94.62050234
1427,≠@,¶”,09,79,951825,94.62835635
1428,∞Ω,§H,11,79,951904,94.63621035
1429,±π,§‚,11,79,951983,94.64406436
1430,∫X,§Ë,14,79,952062,94.65191837
1431,√™,•€,19,79,952141,94.65977237
1432,§B,§@,02,78,952219,94.66752696
1433,•U,∆√,05,78,952297,94.67528155
1434,•“,•–,05,78,952375,94.68303614
1435,¨Ì,•›,09,78,952453,94.69079073
1436,ØB,§Ù,10,78,952531,94.69854532
1437,¿v,§H,17,78,952609,94.70629991
1438,™£,§ı,08,77,952686,94.71395508
1439,´Ë,§ﬂ,09,77,952763,94.72161025
1440,≠º,∆¿,10,77,952840,94.72926542
1441,±b,§y,11,77,952917,94.73692059
1442,≥¨,™˘,11,77,952994,94.74457576
1443,≥¿,≥¿,11,77,953071,94.75223094
1444,≥‡,§f,12,77,953148,94.75988611
1445,πÿ,§h,14,77,953225,94.76754128
1446,æØ,§M,16,77,953302,94.77519645
1447,¿ø,§‚,17,77,953379,94.78285162
1448,√z,§ı,19,77,953456,94.79050679
1449,∆s,≥Ω,27,77,953533,94.79816196
1450,(¶√),§Ù,06,76,953609,94.80571772
1451,ßÏ,§‚,07,76,953685,94.81327347
1452,Æ‘,§Î,10,76,953761,94.82082922
1453,Ø◊,¶◊,10,76,953837,94.82838498
1454,∞ÿ,§f,11,76,953913,94.83594073
1455,±x,§ﬂ,11,76,953989,94.84349648
1456,±æ,§‚,11,76,954065,94.85105224
1457,∏Ò,®¨,13,76,954141,94.85860799
1458,¿x,§H,17,76,954217,94.86616375
1459,√∫,¶Õ,19,76,954293,94.87371950
1460,√ÿ,®©,19,76,954369,94.88127525
1461,¶©,§‚,06,75,954444,94.88873159
1462,ß´,§k,07,75,954519,94.89618792
1463,®¶,®¶,07,75,954594,94.90364426
1464,©Ë,§‚,08,75,954669,94.91110059
1465,´∫,§k,09,75,954744,94.91855693
1466,Ø≤,•›,10,75,954819,94.92601327
1467,¥^,∆—,12,75,954894,94.93346960
1468,∫I,§‡,14,75,954969,94.94092594
1469,ªO,¶‹,14,75,955044,94.94838227
1470,¿∫,§‚,17,75,955119,94.95583861
1471,•e,§R,05,74,955193,94.96319553
1472,ß∫,∆À,07,74,955267,94.97055244
1473,ß‘,§ﬂ,07,74,955341,94.97790936
1474,®Á,…B,08,74,955415,94.98526628
1475,©@,§f,08,74,955489,94.99262320
1476,©d,§k,08,74,955563,94.99998012
1477,©j,§k,08,74,955637,95.00733703
1478,±R,§s,11,74,955711,95.01469395
1479,¥ﬁ,§Ô,12,74,955785,95.02205087
1480,µﬂ, J,12,74,955859,95.02940779
1481,æ¿,§g,16,74,955933,95.03676471
1482,æƒ,§j,16,74,956007,95.04412162
1483,¿q,∂¬,16,74,956081,95.05147854
1484,¡~, J,17,74,956155,95.05883546
1485,™⁄, J,08,73,956228,95.06609296
1486,≠∂,≠∂,09,73,956301,95.07335046
1487,∞I,¶Á,10,73,956374,95.08060796
1488,∞⁄,§f,11,73,956447,95.08786546
1489,¥°,§‚,12,73,956520,95.09512296
1490,πÁ,∆À,14,73,956593,95.10238046
1491,ªe,¶‰,14,73,956666,95.10963796
1492,¿~,§f,17,73,956739,95.11689546
1493,¿,…b,17,73,956812,95.12415296
1494,¡⁄,∆÷,17,73,956885,95.13141046
1495,√æ,¶◊,19,73,956958,95.13866796
1496,ƒm,§¸,20,73,957031,95.14592546
1497,¶Í,°U,07,72,957103,95.15308354
1498,®g,§¸,07,72,957175,95.16024163
1499,©∂,§},08,72,957247,95.16739971
1500,™@,§È,08,72,957319,95.17455779
1501,™u,§Ù,08,72,957391,95.18171587
1502,™ˆ,®º,08,72,957463,95.18887395
1503,´X,§H,09,72,957535,95.19603204
1504,≠,§f,10,72,957607,95.20319012
1505,Ø™,•‹,10,72,957679,95.21034820
1506,≤¯, J,11,72,957751,95.21750628
1507,≥¥,™˙,11,72,957823,95.22466437
1508,¥÷,§Ï,12,72,957895,95.23182245
1509,¥˛,§Ù,12,72,957967,95.23898053
1510,¿¶,§k,17,72,958039,95.24613861
1511,¡°, J,17,72,958111,95.25329669
1512,•À,•À,05,71,958182,95.26035536
1513,™Ù,®∂,08,71,958253,95.26741402
1514,Øæ,¶Õ,10,71,958324,95.27447269
1515,∞‡,§f,11,71,958395,95.28153135
1516,≥≠,™˙,11,71,958466,95.28859002
1517,µ·, J,12,71,958537,95.29564868
1518,∏Û,®¨,13,71,958608,95.30270735
1519,º‰,§Ù,15,71,958679,95.30976601
1520,æp,∞®,15,71,958750,95.31682467
1521,ø¥,¶‡,16,71,958821,95.32388334
1522,ƒP,≥æ,19,71,958892,95.33094200
1523,©`,§j,08,70,958962,95.33790125
1524,™^,…a,08,70,959032,95.34486050
1525,±Ò,§Ï,11,70,959102,95.35181974
1526,µs,•◊,12,70,959172,95.35877899
1527,∫Œ,•ÿ,14,70,959242,95.36573824
1528,ª™,À§,14,70,959312,95.37269748
1529,æG,®∂,15,70,959382,95.37965673
1530,æ\,™˘,15,70,959452,95.38661598
1531,¶«,§ı,06,69,959521,95.39347581
1532,©i,§k,08,69,959590,95.40033563
1533,™,∆÷,08,69,959659,95.40719546
1534,¨µ,§ı,09,69,959728,95.41405529
1535,Æ|,…L,10,69,959797,95.42091512
1536,±ˆ,§Ï,11,69,959866,95.42777495
1537,≤~,•À,11,69,959935,95.43463478
1538,≥¢,®∂,11,69,960004,95.44149461
1539,∫Z,§È,14,69,960073,95.44835444
1540,ΩZ,•›,15,69,960142,95.45521427
1541,¡Á,™˜,17,69,960211,95.46207409
1542,≈÷,¶Õ,23,69,960280,95.46893392
1543,ßZ,∆»,07,68,960348,95.47569433
1544,Ø›,¶◊,10,68,960416,95.48245475
1545,∞Õ,§P,11,68,960484,95.48921516
1546,µÍ, O,12,68,960552,95.49597557
1547,ºµ,§‚,15,68,960620,95.50273598
1548,æx,∞´,15,68,960688,95.50949639
1549,≈¶,¶◊,22,68,960756,95.51625680
1550,©W,§g,08,67,960823,95.52291779
1551,∫Æ,§Ù,14,67,960890,95.52957879
1552,ªÒ,≥æ,14,67,960957,95.53623978
1553,ƒl,§ı,20,67,961024,95.54290077
1554,§«,∆«,04,66,961090,95.54946235
1555,• ,• ,05,66,961156,95.55602392
1556,¨”,•’,09,66,961222,95.56258550
1557,Æ¶,§ﬂ,10,66,961288,95.56914707
1558,Øh,∆‘,10,66,961354,95.57570865
1559,≥h,®©,11,66,961420,95.58227023
1560,∏≤, J,13,66,961486,95.58883180
1561,∫µ,§ı,14,66,961552,95.59539338
1562,º≤,§‚,15,66,961618,95.60195495
1563,æE,∆÷,15,66,961684,95.60851653
1564,ø√,¶‰,16,66,961750,95.61507810
1565,¬ƒ, J,18,66,961816,95.62163968
1566,¶v,∆À,06,65,961881,95.62810184
1567,ØN,§ı,10,65,961946,95.63456399
1568,±H,∆À,11,65,962011,95.64102615
1569,≥c,®©,11,65,962076,95.64748831
1570,µÂ, J,12,65,962141,95.65395047
1571,∑¿,§Ù,13,65,962206,95.66041262
1572,∑–,§ı,13,65,962271,95.66687478
1573,π¡,§f,14,65,962336,95.67333694
1574,ªÛ,ªÛ,14,65,962401,95.67979910
1575,Ω¨, J,15,65,962466,95.68626125
1576,æ•,∂¬,15,65,962531,95.69272341
1577,√e,∆Œ,19,65,962596,95.69918557
1578,¶œ,¶œ,06,64,962660,95.70554831
1579,©ﬁ,§‚,08,64,962724,95.71191105
1580,¨X,§Ï,09,64,962788,95.71827379
1581,∑G,∆Œ,13,64,962852,95.72463653
1582,ª…,™˜,14,64,962916,95.73099927
1583,æv,‘I,15,64,962980,95.73736201
1584,(¬À), J,17,64,963044,95.74372475
1585,¬˚,´A,18,64,963108,95.75008749
1586,≈X,∞®,21,64,963172,95.75645023
1587,≠u,®´,09,63,963235,95.76271355
1588,∞j,∆÷,10,63,963298,95.76897687
1589,≤·,¶’,11,63,963361,95.77524019
1590,∫€,•ﬁ,14,63,963424,95.78150352
1591,ø—,®•,16,63,963487,95.78776684
1592,¶t,∆À,06,62,963549,95.79393074
1593,¨‹,•ÿ,09,62,963611,95.80009465
1594,¨‚,•€,09,62,963673,95.80625855
1595,∞Ô,§g,11,62,963735,95.81242245
1596,∑˛,•ÿ,13,62,963797,95.81858636
1597,π‹,§j,14,62,963859,95.82475026
1598,π˘,∆Œ,14,62,963921,95.83091417
1599,ªH,¶◊,14,62,963983,95.83707807
1600,¿„,§Ù,17,62,964045,95.84324197
1601,¬‹,®¨,18,62,964107,95.84940588
1602,√M,∞®,18,62,964169,95.85556978
1603,•Ã,•Ã,05,61,964230,95.86163427
1604,¶y,§p,06,61,964291,95.86769876
1605,ßÀ,§{,07,61,964352,95.87376324
1606,®ß,®ß,07,61,964413,95.87982773
1607,™¶,§ˆ,08,61,964474,95.88589222
1608,™Ø,§¸,08,61,964535,95.89195670
1609,Øº,¶Õ,10,61,964596,95.89802119
1610,±·,§È,11,61,964657,95.90408567
1611,≤ ,¶Ã,11,61,964718,95.91015016
1612,∂…,§H,13,61,964779,95.91621465
1613,æ§,∂¡,15,61,964840,95.92227913
1614,æÓ,§Ï,16,61,964901,95.92834362
1615,©Ï,§‚,08,60,964961,95.93430869
1616,Æl,§s,10,60,965021,95.94027376
1617,±˘,§Ï,11,60,965081,95.94623883
1618,≤r,§¸,11,60,965141,95.95220389
1619,≥e,®©,11,60,965201,95.95816896
1620,¥»,§Ï,12,60,965261,95.96413403
1621,µN,§ı,12,60,965321,95.97009910
1622,µk,∆‘,12,60,965381,95.97606417
1623,µÏ,¶‰,12,60,965441,95.98202924
1624,∑À,§Ù,13,60,965501,95.98799431
1625,∑Ï,•…,13,60,965561,95.99395937
1626,∏H,•€,13,60,965621,95.99992444
1627,∫],§Ï,14,60,965681,96.00588951
1628,øÎ,®Ø,16,60,965741,96.01185458
1629,√„,®Ø,19,60,965801,96.01781965
1630,®¯,∆»,08,59,965860,96.02368530
1631,´¥,§j,09,59,965919,96.02955095
1632,ØŒ,¶–,10,59,965978,96.03541660
1633,≈⁄, J,23,59,966037,96.04128225
1634,ß},§g,07,58,966095,96.04704848
1635,∞{,™˘,10,58,966153,96.05281472
1636,∑œ,§ı,13,58,966211,96.05858095
1637,∏Ø, J,13,58,966269,96.06434718
1638,π´,π´,13,58,966327,96.07011342
1639,∫œ,•€,14,58,966385,96.07587965
1640,ªØ,®´,14,58,966443,96.08164588
1641,º≥,§‚,15,58,966501,96.08741211
1642,Ωa,•ﬁ,15,58,966559,96.09317835
1643,Ωﬂ,®©,15,58,966617,96.09894458
1644,¿˘,∆‘,17,58,966675,96.10471081
1645,¬∂,¶Õ,18,58,966733,96.11047705
1646,∆N,≥æ,24,58,966791,96.11624328
1647,©f,§k,08,57,966848,96.12191009
1648,´l,§O,09,57,966905,96.12757691
1649,Æ],§l,10,57,966962,96.13324372
1650,Ø¶,•‹,10,57,967019,96.13891054
1651,≤Q,§Ù,11,57,967076,96.14457736
1652,¥Á,§Ù,12,57,967133,96.15024417
1653,∂r,™˜,12,57,967190,96.15591099
1654,∑h,§‚,13,57,967247,96.16157780
1655,∑¥,…_,13,57,967304,96.16724462
1656,æy,∞≠,15,57,967361,96.17291143
1657,æ∑,§f,16,57,967418,96.17857825
1658,≈≤,™˜,22,57,967475,96.18424506
1659,§o,§o,03,56,967531,96.18981246
1660,•P,§H,05,56,967587,96.19537986
1661,≠D,¶◊,09,56,967643,96.20094725
1662,±Ω,§‚,11,56,967699,96.20651465
1663,±Ï,§Ï,11,56,967755,96.21208205
1664,≥˘,§g,12,56,967811,96.21764944
1665,∏•,¶‡,13,56,967867,96.22321684
1666,∫u,§Ù,14,56,967923,96.22878424
1667,º},§ﬂ,15,56,967979,96.23435164
1668,ø,∆÷,16,56,968035,96.23991903
1669,§t,∆Ã,03,55,968090,96.24538701
1670,ßß,§h,07,55,968145,96.25085499
1671,´„,§ﬂ,09,55,968200,96.25632297
1672,¨},§Ù,09,55,968255,96.26179095
1673,≠„,∆≈,10,55,968310,96.26725893
1674,ÆΩ,§‚,10,55,968365,96.27272691
1675,ÆÒ,…a,10,55,968420,96.27819489
1676,≤D,§Ù,11,55,968475,96.28366287
1677,≤˙, J,11,55,968530,96.28913085
1678,¡a,¶Õ,17,55,968585,96.29459883
1679,√n,§È,19,55,968640,96.30006681
1680,§ ,§Q,04,54,968694,96.30543537
1681,¶∂,§Ï,06,54,968748,96.31080393
1682,ßj,§f,07,54,968802,96.31617249
1683,ß·,§‚,07,54,968856,96.32154106
1684,´Ã,§r,09,54,968910,96.32690962
1685,¨x,§Ù,09,54,968964,96.33227818
1686,≤ª,•‹,11,54,969018,96.33764674
1687,ªL,¶◊,14,54,969072,96.34301530
1688,æÃ,§ﬂ,16,54,969126,96.34838386
1689,≈D,®¨,21,54,969180,96.35375243
1690,•Ú,§H,06,53,969233,96.35902157
1691,®a,§ı,07,53,969286,96.36429071
1692,®Ì,§M,08,53,969339,96.36955986
